Date,Cases,Deaths,Recovered,Travel_history,Province,City
26-Feb-20,2,,,China,Islamabad Capital Territory,Islamabad
27-Feb-20,0,,,Iran/Taftan,Sindh,Karachi
28-Feb-20,0,,,China,Islamabad Capital Territory,Islamabad
29-Feb-20,2,,,Iran/Taftan,Sindh,Karachi
1-Mar-20,0,,,Unknown,Sindh,Karachi
2-Mar-20,0,,,Iran/Taftan,Sindh,Karachi
3-Mar-20,1,,,Syria,Sindh,Karachi
4-Mar-20,0,,,UK,Sindh,Karachi
5-Mar-20,1,,,Iran/Taftan,Sindh,Karachi
6-Mar-20,0,,1,Syria,Sindh,Hyderabad
7-Mar-20,0,,0,Iran/Taftan,Baluchistan,Quetta
8-Mar-20,1,,0,Iran/Taftan,Gilgit Baltistan,Skardu
9-Mar-20,9,,0,Iran/Taftan,Sindh,Karachi
10-Mar-20,3,,0,Local - Social Contact,Gilgit Baltistan,Gilgit
11-Mar-20,1,,1,USA,Islamabad Capital Territory,Islamabad
12-Mar-20,1,,0,Local - Social Contact,Sindh,Karachi
13-Mar-20,7,,1,Iran/Taftan,Baluchistan,Taftan
14-Mar-20,3,,0,Iran/Taftan,Sindh,Sukkur
15-Mar-20,22,,0,Iran/Taftan,Sindh,Karachi
16-Mar-20,134,,1,UK,Punjab,Lahore
17-Mar-20,54,,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
18-Mar-20,61,2,1,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
19-Mar-20,159,0,0,Iran/Taftan,Sindh,Sukkur
20-Mar-20,34,1,0,Iran/Taftan,Sindh,Karachi
21-Mar-20,151,0,0,Iran/Taftan,Sindh,Hyderabad
22-Mar-20,138,2,1,Iran/Taftan,Punjab,Lahore
23-Mar-20,103,1,0,Iran/Taftan,Islamabad Capital Territory,Islamabad
24-Mar-20,104,1,12,Iran/Taftan,khyber Pakhtunkhwa,Mansehra
25-Mar-20,66,1,3,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
26-Mar-20,140,1,2,Iran/Taftan,Punjab,Dera Ghazi Khan
27-Mar-20,211,2,3,Iran/Taftan,Sindh,Sukkur
28-Mar-20,118,2,2,KSA,Sindh,Karachi
29-Mar-20,99,5,4,KSA,Punjab,Lahore
30-Mar-20,240,7,26,KSA,khyber Pakhtunkhwa,Peshawar
31-Mar-20,174,1,24,UK,Khyber Pakhtunkhwa,Charsadda
1-Apr-20,252,5,25,UK,Islamabad Capital Territory,Islamabad
2-Apr-20,159,4,19,UK,Islamabad Capital Territory,Islamabad
3-Apr-20,258,5,4,Iran/Taftan,Punjab,Dera Ghazi Khan
4-Apr-20,172,5,40,Iran/Taftan,Sindh,Sukkur
5-Apr-20,407,5,87,Local - Social Contact,Sindh,Karachi
6-Apr-20,577,4,172,Local - Social Contact,Gilgit Baltistan,Gilgit
7-Apr-20,210,4,38,Local - Social Contact,Khyber Pakhtunkhwa,Buner
8-Apr-20,243,5,105,KSA,Khyber Pakhtunkhwa,Mardan 
9-Apr-20,281,3,155,KSA,Khyber Pakhtunkhwa,Hangu 
10-Apr-20,186,5,35,Iran/Taftan,Azad Jummu Kashmir,Mirpur
11-Apr-20,254,15,264,Local - Social Contact,Punjab,Multan
12-Apr-20,336,7,69,Local - Social Contact,Punjab,Lahore
13-Apr-20,342,3,283,Iran/Taftan,Punjab,Dera Ghazi Khan
14-Apr-20,269,11,68,Local - Social Contact,Sindh,Karachi
15-Apr-20,543,17,199,Iran/Taftan,Baluchistan,Quetta
16-Apr-20,488,11,120,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
17-Apr-20,463,8,67,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan
18-Apr-20,514,16,36,Local - Covid Relative,Gilgit Baltistan,Gilgit
19-Apr-20,427,17,102,Local - Covid Relative,Gilgit Baltistan,Nagar
20-Apr-20,796,16,96,Local - Covid Relative,Baluchistan,Quetta
21-Apr-20,555,17,90,Local - Social Contact,Sindh,Karachi
22-Apr-20,742,15,181,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
23-Apr-20,642,13,190,Local - Social Contact,Federal Administration Tribal Area,Khyber
24-Apr-20,785,16,228,Local - Social Contact,Punjab,Rawalpindi
25-Apr-20,783,16,111,Local - Social Contact,Punjab,Jehlum
26-Apr-20,605,12,163,Local - Social Contact,Punjab,Gujrat 
27-Apr-20,751,20,204,Local - Social Contact,Punjab,Lahore
28-Apr-20,806,26,192,Iran/Taftan,Punjab,Dera Ghazi Khan
29-Apr-20,942,34,627,Local - Social Contact,Gilgit Baltistan,Nagar
30-Apr-20,990,24,263,Iran/Taftan,Gilgit Baltistan,Gilgit
1-May-20,1297,32,400,Iran/Taftan,Islamabad Capital Territory,Islamabad
2-May-20,989,23,102,Iran/Taftan,Baluchistan,Quetta
3-May-20,1083,22,773,Iran/Taftan,Sindh,Sukkur
4-May-20,1315,24,192,Local - Social Contact,Sindh,Karachi
5-May-20,1049,40,435,Iran/Taftan,Gilgit Baltistan,Skardu
6-May-20,1523,38,247,Iran/Taftan,Punjab,Lahore
7-May-20,1764,30,1066,Iran/Taftan,Punjab,Dera Ghazi Khan
8-May-20,1637,24,226,Local - Social Contact,Punjab,Jehlum
9-May-20,1991,21,267,Local - Social Contact,Punjab,Gujranwala
10-May-20,1476,29,189,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
11-May-20,1140,38,343,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
12-May-20,2255,31,257,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
13-May-20,1452,33,883,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
14-May-20,1430,33,460,Iran/Taftan,Khyber Pakhtunkhwa,Karak
15-May-20,1581,31,725,Local - Social Contact,Gilgit Baltistan,Nagar
16-May-20,1352,39,461,Local - Social Contact,Sindh,Karachi
17-May-20,1974,30,581,Local - Social Contact,Sindh,Sukkur
18-May-20,1841,36,567,Local - Social Contact,Islamabad Capital Territory,Islamabad
19-May-20,1932,46,612,Local - Social Contact,Punjab,Lahore
20-May-20,2193,32,1054,Local - Social Contact,Punjab,Jehlum
21-May-20,2603,50,1046,Local - Social Contact,Punjab,Rawalpindi
22-May-20,1743,34,1452,Iran/Taftan,Punjab,Dera Ghazi Khan
23-May-20,2164,32,545,Iran/Taftan,Baluchistan,Quetta
24-May-20,1748,34,284,Local - Social Contact,Sindh,Karachi
25-May-20,1356,30,832,Iran/Taftan,Sindh,Sukkur
26-May-20,1446,28,828,Iran/Taftan,Sindh,Dadu
27-May-20,2241,35,1089,Iran/Taftan,Baluchistan,Taftan
28-May-20,2636,57,2074,Iran/Taftan,Gilgit Baltistan,Skardu
29-May-20,2429,78,1826,Iran/Taftan,Punjab,Dera Ghazi Khan
30-May-20,3039,88,1140,Local - Social Contact,Punjab,Lahore
31-May-20,2964,60,812,Unknown,Khyber Pakhtunkhwa,Mansehra
1-Jun-20,3872,78,1027,Iran/Taftan,Sindh,Sukkur
2-Jun-20,4244,67,1813,Local - Social Contact,Sindh,Karachi
3-Jun-20,3777,82,1205,Local - Social Contact,Gilgit Baltistan,Gilgit
4-Jun-20,4896,68,1070,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
5-Jun-20,4734,97,1383,Iran/Taftan,Federal Administration Tribal Area,South Waziristan
6-Jun-20,4960,67,884,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
7-Jun-20,4728,65,890,Iran/Taftan,Baluchistan,Quetta
8-Jun-20,4646,105,663,Local - Social Contact,Punjab,Lahore
9-Jun-20,5385,83,1290,Local - Social Contact,Punjab,Multan
10-Jun-20,5834,101,2083,Local - Social Contact,Punjab,Gujrat 
11-Jun-20,6397,107,1856,Local - Social Contact,Punjab,Gujranwala
12-Jun-20,6472,88,9809,Local - Social Contact,Punjab,Sargodha
13-Jun-20,6825,81,1679,Local - Social Contact,Punjab,Faisalabad
14-Jun-20,5248,96,1986,Local - Social Contact,Punjab,Mandi Bahauddin
15-Jun-20,4443,111,2669,Local - Social Contact,Punjab,Rahim yar khan
16-Jun-20,5839,136,2047,Local - Social Contact,Sindh,Karachi
17-Jun-20,5358,118,778,Iran/Taftan,Punjab,Dera Ghazi Khan
18-Jun-20,4944,136,2168,International Passenger,Islamabad Capital Territory,Islamabad
19-Jun-20,6604,153,2121,Local - Social Contact,Sindh,Karachi
20-Jun-20,4951,119,4388,Local - Social Contact,Sindh,Hyderabad
21-Jun-20,4471,89,3566,Local - Social Contact,Baluchistan,Quetta
22-Jun-20,3946,105,2283,Local - Social Contact,Gilgit Baltistan,Astore
23-Jun-20,3892,60,4013,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
24-Jun-20,4044,148,3553,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
25-Jun-20,2775,58,2861,Iran/Taftan,Khyber Pakhtunkhwa,Swabi
26-Jun-20,3138,74,2738,Local - Social Contact,Punjab,Gujrat
27-Jun-20,4072,83,5718,Local - Social Contact,Punjab,Gujranwala
28-Jun-20,3536,68,2783,Iran/Taftan,Punjab,Dera Ghazi Khan
29-Jun-20,2846,118,3096,Iran/Taftan,Punjab,Lahore
30-Jun-20,4133,91,2299,Local - Social Contact,Punjab,Multan
1-Jul-20,4339,78,3892,Unknown,Gilgit Baltistan,Kharmang
2-Jul-20,4087,78,8929,Dubai,Gilgit Baltistan,Kharmang
3-Jul-20,3387,68,11471,Dubai,Khyber Pakhtunkhwa,Dir Upper
4-Jul-20,3191,93,4736,Dubai,Khyber Pakhtunkhwa,Swat
5-Jul-20,3344,50,1819,Dubai,Azad Jummu Kashmir,Mirpur
6-Jul-20,2691,77,3308,Dubai,Islamabad Capital Territory,Islamabad
7-Jul-20,2980,83,6008,Local - Social Contact,Sindh,Karachi
8-Jul-20,3359,61,4346,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
9-Jul-20,2751,75,3781,Iran/Taftan,Baluchistan,Quetta
10-Jul-20,2752,65,4042,Iran/Taftan,Gilgit Baltistan,Skardu
11-Jul-20,2505,74,3566,Iran/Taftan,Punjab,Lahore
12-Jul-20,2769,73,5217,Iran/Taftan,Punjab,Multan
13-Jul-20,1979,49,8739,Local - Social Contact,Punjab,Gujrat
14-Jul-20,2165,67,2154,Local - Social Contact,Punjab,Jehlum
15-Jul-20,2145,40,5927,Local - Social Contact,Punjab,Rawalpindi
16-Jul-20,2085,49,5000,Local - Social Contact,Punjab,Faisalabad
17-Jul-20,1918,47,14772,Local - Social Contact,Punjab,Mandi Bahauddin
18-Jul-20,1579,46,5767,Local - Social Contact,Punjab,Mianwali
19-Jul-20,1587,31,1653,Local - Social Contact,Punjab,Narowal
20-Jul-20,1013,40,2101,Local - Social Contact,Punjab,Nankana
21-Jul-20,1332,38,2438,Local - Social Contact,Punjab,Attock
22-Jul-20,1763,32,2707,Local - Social Contact,Punjab,Bahawal Nagar
23-Jul-20,1209,54,6608,Iran/Taftan,Punjab,Dera Ghazi Khan
24-Jul-20,1487,24,16813,Local - Social Contact,Islamabad Capital Territory,Islamabad
25-Jul-20,1226,35,838,Local - Social Contact,Gilgit Baltistan,Shigar
26-Jul-20,1176,20,3592,Local - Social Contact,Gilgit Baltistan,Gilgit
27-Jul-20,936,23,1410,Iran/Taftan,Sindh,Larkana
28-Jul-20,1063,27,2447,Local - Social Contact,Sindh,Karachi
29-Jul-20,1114,32,1248,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
30-Jul-20,903,27,2447,Local - Social Contact,Khyber Pakhtunkhwa,Swat
31-Jul-20,841,19,850,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
1-Aug-20,553,6,550,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
2-Aug-20,330,8,296,Iran/Taftan,Khyber Pakhtunkhwa,Orakzai
3-Aug-20,432,15,524,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
4-Aug-20,675,15,4889,Iran/Taftan,Khyber Pakhtunkhwa,Malakand
5-Aug-20,727,21,1772,Iran/Taftan,Khyber Pakhtunkhwa,Mansehra
6-Aug-20,782,17,2041,Iran/Taftan,Khyber Pakhtunkhwa,Kohat
7-Aug-20,842,16,1505,Local - Social Contact,Punjab,Lahore
